cr_id,abuse_ct,age_off_comp,civil_ct,complaint_date,corrupt_ct,num_awards,num_coindicated,num_complaints,numwitnesses,operations_ct,substance_ct,time_on_force,discipline,not_operations,injury,administrator,copa_style,search,reform,officer_filed_False,officer_filed_True,officer_filed_Unknown,officer_gender_FEMALE,officer_gender_MALE,officer_race_ASIAN/PACIFIC ISLANDER,officer_race_BLACK,officer_race_HISPANIC,officer_race_NATIVE AMERICAN/ALASKAN NATIVE,officer_race_WHITE
297517,2.0,15455,0.0,2004-04-27,0.0,25.0,1,11.0,0.0,9.0,0.0,3400.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
287609,14.0,15314,3.0,2003-02-14,2.0,9.0,2,39.0,0.0,19.0,0.0,5828.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1067329,11.0,13548,6.0,2014-02-04,0.0,177.0,1,19.0,2.0,2.0,0.0,4299.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
282080,5.0,12238,0.0,2002-07-05,0.0,18.0,1,16.0,0.0,10.0,0.0,2251.0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
292631,17.0,17434,11.0,2003-09-25,4.0,44.0,1,38.0,0.0,4.0,0.0,3306.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
280558,5.0,16203,3.0,2002-05-13,11.0,28.0,1,35.0,0.0,15.0,0.0,4521.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
290174,0.0,14046,1.0,2003-06-17,0.0,21.0,6,2.0,0.0,1.0,0.0,1331.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
304711,4.0,10958,12.0,2005-04-08,1.0,158.0,3,20.0,0.0,1.0,0.0,1282.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
293111,2.0,18551,10.0,2003-10-17,4.0,20.0,4,21.0,0.0,4.0,0.0,3391.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
279489,2.0,19815,0.0,2002-04-03,1.0,3.0,2,9.0,0.0,6.0,0.0,9521.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
298119,8.0,16212,3.0,2004-05-22,0.0,30.0,3,24.0,0.0,13.0,0.0,3608.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
304781,22.0,15382,21.0,2005-04-12,4.0,49.0,6,56.0,0.0,8.0,0.0,6759.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1044141,3.0,12498,7.0,2011-03-22,0.0,130.0,3,13.0,3.0,3.0,0.0,3928.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
312881,7.0,16198,0.0,2006-05-10,0.0,7.0,22,13.0,0.0,6.0,0.0,3808.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
299671,6.0,14821,2.0,2004-07-30,2.0,18.0,1,36.0,0.0,26.0,0.0,5086.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
269039,1.0,19395,23.0,2001-02-07,1.0,4.0,1,31.0,0.0,6.0,0.0,5531.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1055801,1.0,11162,4.0,2012-07-24,0.0,121.0,2,9.0,1.0,3.0,0.0,2045.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1077092,9.0,13381,9.0,2015-09-10,1.0,91.0,2,25.0,5.0,4.0,0.0,4316.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
1072394,2.0,16006,1.0,2014-11-04,3.0,100.0,1,8.0,1.0,2.0,0.0,4964.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
304375,1.0,12197,0.0,2005-03-23,2.0,12.0,1,13.0,0.0,10.0,0.0,604.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1032061,6.0,16032,2.0,2009-11-23,1.0,14.0,1,24.0,3.0,15.0,0.0,5684.0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
301043,18.0,14152,15.0,2004-10-01,7.0,1.0,1,46.0,0.0,6.0,0.0,3650.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
